,0,1,2,3
0,#cryptocurrency,19234.382934570312,43264,28019
1,#dolar,823.2919807434082,983,1064
2,#giveawayalert,310.98567962646484,2287,1947
3,#altcoin,8563.545532226562,26543,9482
4,#bsv,195.79208755493164,1112,301
5,#hodl,5676.556915283203,16054,29731
6,#airdrop,35870.292724609375,40265,58635
7,#coin,1637.2745895385742,1900,2095
8,#cryptocurrencies,5048.6668701171875,7561,11128
9,#lightning,183.9306936264038,524,304
10,#kripto,2078.550262451172,10173,2777
11,#moonshot,553.5881500244141,898,969
12,#ripple,1088.0025749206543,5307,5924
13,#safemoonarmy,560.2924880981445,1564,811
14,#bullish,288.52475929260254,589,422
15,#safebtc,1483.1505279541016,3868,4693
16,#theta,1008.5775146484375,1494,1291
17,#bitcoincash,485.7932548522949,1118,1579
18,#monero,650.8950462341309,1555,1784
19,#ビットコイン,652.6743621826172,4571,1439
20,#shib,651.5980453491211,934,1061
21,#ctbot,140.07831621170044,503,495
22,#klever,494.5108222961426,1516,1355
23,#klv,494.5108222961426,1532,1343
24,#cryptoartist,148.1782169342041,365,170
25,#tothemoon,60.98212003707886,249,220
26,#giveaways,1129.4253692626953,1807,4542
27,#cryptos,767.3266868591309,1464,1188
28,#günaydın,154.83168125152588,3013,1831
