,0,1,2,3
0,#safemoon,73785.6435546875,27780,3166
1,#dogecoin,73785.6435546875,38825,27357
2,#digibyte,73785.6435546875,2542,793
3,#1,73785.6435546875,1610,184
4,#nft,73785.6435546875,13241,5725
5,#pancakeswap,73785.6435546875,6678,8154
6,#solana,73785.6435546875,523,575
7,#ethereum,73785.6435546875,34237,29243
8,#uniswap,73785.6435546875,514,186
9,#nfts,73785.6435546875,8917,4388
10,#monero,73785.6435546875,598,357
11,#btc,73785.6435546875,25795,39741
12,#defi,73785.6435546875,18846,12194
13,#dex,73785.6435546875,320,160
14,#crypto,103242.203125,79144,66544
15,#cardano,103242.203125,5946,2774
16,#ltc,103242.203125,4352,1179
17,#tron,103242.203125,7167,6009
18,#cryptocurrencies,103242.203125,5976,2789
19,#bnb,103242.203125,67093,24769
20,#eth,103242.203125,18089,9711
21,#blockchain,103242.203125,12568,5376
22,#xrp,103242.203125,7690,7843
23,#dot,103242.203125,160,183
24,#safemars,103242.203125,1695,1061
25,#doge,103242.203125,19717,15016
26,#cryptotwitter,14892.928466796875,320,269
27,#elonmusk,14892.928466796875,1028,706
28,#cryptocurrencynews,14892.928466796875,336,275
29,#altcoins,14892.928466796875,5584,6135
30,#cryptonews,14892.928466796875,3078,1799
31,#dogeday,3736.722213745117,2857,2115
32,#dogecointothemoon,13435.372314453125,609,370
33,#coinbase,13435.372314453125,777,729
34,#dgb,1357.0113677978516,1011,200
35,#altcoin,4554.54296875,4490,11344
36,#ico,4554.54296875,687,133
37,#bitcoincash,4554.54296875,1099,218
38,#china,2130.841682434082,140,129
39,#kripto,2569.759552001953,985,1613
40,#thodex,2569.759552001953,1707,5064
41,#bullish,1017.7297210693359,325,449
42,#giveaway,17207.481689453125,13288,12812
43,#trx,17207.481689453125,6575,5655
44,#chz,1598.2030563354492,1506,347
45,#dolartl,2025.5991439819336,1396,655
46,#kriptopara,2025.5991439819336,1004,11752
47,#staking,1189.2867889404297,809,232
48,#ai,648.3960494995117,215,258
49,#btt,1007.1176834106445,540,1392
50,#cryptoart,1903.0969543457031,955,1367
51,#trading,1645.7289428710938,752,2322
52,#nftart,850.2624816894531,760,1733
53,#technology,638.9406661987305,356,226
54,#100daysofcode,638.9406661987305,181,250
