,0,1,2,3
0,#bitcoin,85307.087890625,259117,227764
1,#bitcoin,85307.087890625,259117,227764
2,#ethereum,14301.677856445312,41626,12464
3,#gold,780.8811416625977,946,601
4,#btc,10238.302856445312,36446,16275
5,#btc,10238.302856445312,36446,16275
6,#eth,14557.081909179688,32431,5808
7,#doge,12534.470703125,25227,5930
8,#dogecoin,12534.470703125,16836,22521
9,#dogecoin,12534.470703125,16836,22521
10,#safemoon,3647.9642333984375,12044,5866
11,#safemoon,3647.9642333984375,12044,5866
12,#cryptocurrency,12537.603393554688,14003,12631
13,#cryptocurrency,12537.603393554688,14003,12631
14,#binance,62815.5966796875,73715,8906
15,#2,102.64397287368774,195,43
16,#cryptocurrencies,907.7035140991211,1380,3837
17,#cryptocurrencies,907.7035140991211,1380,3837
18,#chainlink,1131.8316955566406,1246,404
19,#litecoin,2210.0838012695312,7522,1600
20,#bnb,17264.790283203125,41068,53529
21,#bnb,17264.790283203125,41068,53529
22,#kriptopara,729.3312797546387,5201,417
23,#cryptoart,767.0225372314453,1054,2133
24,#cryptoart,767.0225372314453,1054,2133
25,#coinbase,413.683162689209,1087,681
26,#coinbase,413.683162689209,1087,681
27,#binancesmartchain,15568.6904296875,30623,28023
28,#binancesmartchain,15568.6904296875,30623,28023
29,#pancakeswap,6395.1953125,15191,4925
30,#sol,235.00000381469727,271,578
31,#sol,235.00000381469727,271,578
32,#solana,235.00000381469727,1102,926
33,#solana,235.00000381469727,1102,926
34,#nftcollector,357.80200576782227,1396,1680
35,#nftcollector,357.80200576782227,1396,1680
36,#money,380.8059310913086,919,74
37,#cardano,590.2872085571289,5730,744
38,#cardano,590.2872085571289,5730,744
39,#rarible,590.2872085571289,821,1069
40,#rarible,590.2872085571289,821,1069
41,#giveaway,13338.813232421875,26881,20181
42,#giveaway,13338.813232421875,26881,20181
43,#airdrop,12298.933776855469,15929,48422
44,#airdrop,12298.933776855469,15929,48422
45,#safemooncommunity,1177.7850952148438,1479,271
46,#dogecoinarmy,3125.1036987304688,8848,79
47,#dogecointothemoon,3125.1036987304688,8866,140
48,#dogeday,217.89108657836914,605,20
49,#bep20,647.6520462036133,704,124
