,0,1,2,3
0,#trx,14557.081909179688,10372,939
1,#btt,14557.081909179688,2110,1708
2,#btt,14557.081909179688,2110,1708
3,#trading,13557.631713867188,653,30
4,#nft,13557.631713867188,10146,11570
5,#nft,13557.631713867188,10146,11570
6,#blockchain,13557.631713867188,10450,11777
7,#blockchain,13557.631713867188,10450,11777
8,#altcoins,13557.631713867188,8031,1761
9,#altcoins,13557.631713867188,8031,1761
10,#ada,12534.470703125,1540,2028
11,#ada,12534.470703125,1540,2028
12,#dot,12534.470703125,6121,70
13,#1,3647.9642333984375,699,1277
14,#1,3647.9642333984375,699,1277
15,#crypto,62815.5966796875,43721,58568
16,#crypto,62815.5966796875,43721,58568
17,#altcoin,62815.5966796875,9272,2418
18,#altcoin,62815.5966796875,9272,2418
19,#defi,62815.5966796875,14734,12794
20,#defi,62815.5966796875,14734,12794
21,#nfts,62815.5966796875,9091,8612
22,#nfts,62815.5966796875,9091,8612
23,#bsc,62815.5966796875,43459,60964
24,#bsc,62815.5966796875,43459,60964
25,#win,17264.790283203125,1816,3631
26,#win,17264.790283203125,1816,3631
27,#dent,17264.790283203125,1807,2099
28,#dent,17264.790283203125,1807,2099
29,#hot,17264.790283203125,1560,822
30,#hot,17264.790283203125,1560,822
31,#xrp,17264.790283203125,10962,8385
32,#xrp,17264.790283203125,10962,8385
33,#link,17264.790283203125,789,27
34,#ltc,17264.790283203125,1957,69
35,#dex,15568.6904296875,644,80
36,#dex,15568.6904296875,644,80
37,#bitcoins,6395.1953125,1728,678
38,#bitcoins,6395.1953125,1728,678
39,#hodl,6395.1953125,1790,2936
40,#hodl,6395.1953125,1790,2936
41,#fintech,410.3648738861084,279,169
42,#fintech,410.3648738861084,279,169
43,#cryptonews,2625.3771362304688,1808,450
44,#cryptonews,2625.3771362304688,1808,450
45,#altseason,2625.3771362304688,576,457
46,#altseason,2625.3771362304688,576,457
47,#nftartist,13338.813232421875,681,785
48,#nftartist,13338.813232421875,681,785
49,#nftcommunity,13338.813232421875,1240,1791
50,#nftcommunity,13338.813232421875,1240,1791
51,#nftcollectors,13338.813232421875,849,1971
52,#nftcollectors,13338.813232421875,849,1971
53,#nftart,13338.813232421875,1326,1845
54,#nftart,13338.813232421875,1326,1845
55,#giveaways,13338.813232421875,2336,4329
56,#giveaways,13338.813232421875,2336,4329
57,#dogearmy,3125.1036987304688,1802,3198
58,#dogearmy,3125.1036987304688,1802,3198
59,#doge4amazon,3125.1036987304688,585,73
60,#doge4amazon,3125.1036987304688,585,73
61,#dogecoinrise,3125.1036987304688,1438,193
62,#dogecoinrise,3125.1036987304688,1438,193
63,#elonmusk,3125.1036987304688,317,211
64,#elonmusk,3125.1036987304688,317,211
65,#dogecoins,3125.1036987304688,2422,221
66,#dogetothemoon,3125.1036987304688,1060,6
67,#ripple,455.3604984283447,364,976
68,#ripple,455.3604984283447,364,976
69,#bittorrent,755.0673179626465,408,836
70,#bittorrent,755.0673179626465,408,836
71,#holo,755.0673179626465,672,913
72,#holo,755.0673179626465,672,913
